'perfect' gold bar;lingotto d'oro "perfetto".
'perfect' ring;anello "perfetto".
1/2 plain pizza;1/2 pizza semplice
1/2 anchovy pizza;1/2 pizza alle acciughe
1/2 pineapple pizza;1/2 pizza all'ananas
'perfect' necklace;collana 'perfetta'
'24-carat' sword;Spada "24 carati".
1/2 meat pizza;1/2 pizza di carne
'perfect' gold ore;minerale d'oro "perfetto".
10th squad sigil;10th sigillo della squadra
2/3rds full jug;2/3rds brocca piena
2/5ths full bucket;2/5ths secchio pieno
20th anniversary bottom;20th fondo anniversario
2/3 cake;2/3 torta
2/3 chocolate cake;2/3 torta al cioccolato
20th anniversary boots;20th stivali da anniversario
18lb shot;18lb sparo
1/3rds full jug;1/3rds brocca piena
1/5ths full bucket;1/5ths secchio pieno
20th anniversary hat;20th cappello da anniversario
3rd age axe;3rd ascia dell'età
20th anniversary cape;20th mantello dell'anniversario
3rd age bow;3rd arco dell'età
3rd age amulet;3rd amuleto dell'età
20th anniversary necklace;20th collana anniversario
20th anniversary top;20th parte superiore dell'anniversario
22lb shot;22lb sparo
20th anniversary gloves;20th guanti anniversario
3/5ths full bucket;3/5ths secchio pieno
3rd age druidic robe top;3rd parte superiore della veste druidica dell'età
3rd age mage hat;3rd cappello da mago dell'età
3rd age full helmet;3rd casco integrale per età
3rd age longsword;3rd spada lunga dell'età
3rd age druidic staff;3rd personale druidico in età
3rd age druidic cloak;3rd mantello druidico dell'età
3rd age druidic robe bottoms;3rd pantaloni di tunica druidica di età
3rd age pickaxe;3rd piccone dell'età
3rd age cloak;3rd mantello dell'età
3rd age kiteshield;3rd età kiteshield
3rd age range coif;3rd cuffia per fascia d'età
3rd age platebody;3rd corpo piatto dell'età
3rd age range top;3rd fascia di età superiore
3rd age vambraces;3rd braccioli dell'età
3rd age platelegs;3rd età delle piastre delle gambe
3rd age range legs;3rd gambe della fascia di età
3rd age robe top;3rd parte superiore della vestaglia dell'età
3rd age robe;3rd veste d'età
3rd age plateskirt;3rd gonna a piastre dell'età
3rd age wand;3rd bacchetta dell'età
8-gallon jug;8-gallon brocca
5-gallon jug;5-gallon brocca
A blue pentagon;Un pentagono blu
A blue circle;Un cerchio blu
??? mixture;??? miscela
4-poster;4-poster 
4/5ths full bucket;4/5ths secchio pieno
4th birthday hat;4th cappello di compleanno
A blue triangle;Un triangolo blu
A blue square;Un quadrato blu
A green triangle;Un triangolo verde
A dear friend;Un caro amico
A chair;Una sedia
A dark disposition;Una disposizione oscura
A container;Un contenitore
A green circle;Un cerchio verde
A green pentagon;Un pentagono verde
A jester stick;Un bastone da giullare
A green square;Un quadrato verde
A handwritten book;Un libro scritto a mano
A red pentagon;Un pentagono rosso
A pattern;Uno schema
A red square;Un quadrato rosso
A red triangle;Un triangolo rosso
A scribbled note;Una nota scarabocchiata
A magic scroll;Una pergamena magica
A powdered wig;Una parrucca incipriata
A red circle;Un cerchio rosso
A scruffy note;Una nota trasandata
A small key;Una piccola chiave
A stone bowl;Una ciotola di pietra
A violet pentagon;Un pentagono viola
A special tiara;Una tiara speciale
A violet square;Un quadrato viola
A yellow circle;Un cerchio giallo
A taste of hope;Un assaggio di speranza
A used spell;Un incantesimo usato
A violet circle;Un cerchio viola
A yellow pentagon;Un pentagono giallo
A violet triangle;Un triangolo viola
Abyssal bludgeon;Mazza abissale
Ablenkian's escape;La fuga di Ablenkian
Absorption (4);Assorbimento (4)
Absorption (3);Assorbimento (3)
A yellow triangle;Un triangolo giallo
Aberrant spectre;Spettro aberrante
Abyssal book;Libro abissale
A yellow square;Un quadrato giallo
Absorption (1);Assorbimento (1)
Absorption (2);Assorbimento (2)
Abyssal bracelet(2);Bracciale abissale(2)
Abyssal dagger;Pugnale abissale
Abyssal demon;Demone abissale
Abyssal dagger (p++);Pugnale abissale (p++)
Abyssal bracelet(4);Bracciale abissale(4)
Abyssal dagger (p+);Pugnale abissale (p+)
Abyssal bracelet(3);Bracciale abissale(3)
Abyssal dagger (p);Pugnale abissale (p)
Abyssal bracelet(1);Bracciale abissale(1)
Abyssal bracelet(5);Bracciale abissale(5)
Abyssal tentacle;Tentacolo abissale
Accumulator max hood;Cappa max accumulatore
Achey tree logs;Tronchi di alberi Achey
Accumulator max cape;Mantello massimo dell'accumulatore
Acetic acid;Acido acetico
Abyssal head;Testa abissale
Abyssal whip;Frusta abissale
Achievement diary cape;Mantello per diario dei risultati
Achievement diary cape (t);Mantello del diario dei risultati (t)
Abyssal orphan;Orfano abissale
Adamant arrow(p);Freccia irremovibile(p)
Adamant arrow;Freccia irremovibile
Adamant arrow(p+);Freccia irremovibile(p+)
Adamant 2h sword;Spada Adamant 2h
Adamant arrowtips;Punte di freccia irremovibili
Adamant arrow(p++);Freccia irremovibile(p++)
Achievement gallery;Galleria dei risultati
Achievement diary hood;Cappuccio del diario dei risultati
Adamant arrow pack;Pacchetto frecce irremovibile
Acorn;Ghianda
Adamant boots;Stivali irremovibili
Adamant bolts (p+);Bulloni irremovibili (p+)
Adamant bolts(unf);Bulloni irremovibili (unf)
Adamant bolts (p);Bulloni irremovibili (p)
Adamant brutal;Decisamente brutale
Adamant axe head;Testa d'ascia irremovibile
Adamant battleaxe;Ascia da battaglia irremovibile
Adamant bolts;Bulloni irremovibili
Adamant bolts (p++);Bulloni irremovibili (p++)
Adamant axe;Ascia irremovibile
Adamant dagger;Pugnale irremovibile
Adamant dagger(p++);Pugnale irremovibile (p++)
Adamant dart;Dardo irremovibile
Adamant crossbow (u);Balestra irremovibile (u)
Adamant dagger(p);Pugnale irremovibile (p)
Adamant chainbody;Corpo della catena irremovibile
Adamant cane;Canna irremovibile
Adamant claws;Artigli irremovibili
Adamant crossbow;Balestra irremovibile
Adamant dagger(p+);Pugnale irremovibile(p+)
Adamant defender (broken);Difensore irremovibile (rotto)
Adamant defender (l);Difensore irremovibile (l)
Adamant fire arrow;Freccia di fuoco irremovibile
Adamant fire arrow (lit);Freccia di fuoco irremovibile (accesa)
Adamant dragon mask;Maschera da drago irremovibile
Adamant dart tip;Punta del dardo irremovibile
Adamant dart(p);Dardo irremovibile(p)
Adamant dart(p+);Dardo irremovibile(p+)
Adamant defender;Difensore irremovibile
Adamant dart(p++);Dardo irremovibile(p++)
Adamant halberd;Alabarda irremovibile
Adamant hasta;Hasta irremovibile
Adamant full helm (t);Elmo completo irremovibile (t)
Adamant gold-trimmed set (sk);Parure Adamante con rifiniture in oro (sk)
Adamant full helm (g);Elmo completo irremovibile (g)
Adamant full helm;Elmo completo irremovibile
Adamant gloves;Guanti irremovibili
Adamant gold-trimmed set (lg);Parure Adamant con finiture dorate (lg)
Adamant hasta(p);Hasta irremovibile(p)
Adamant hasta(kp);Hasta irremovibile (kp)
Adamant hasta(p+);Hasta irremovibile(p+)
Adamant javelin heads;Teste di giavellotto irremovibili
Adamant helm (h5);Elmo irremovibile (h5)
Adamant heraldic helm;Elmo araldico irremovibile
Adamant helm (h4);Elmo irremovibile (h4)
