A Clam Shell;Ett musslaskal
A Goblin standard;En Goblin-standard
A Shayzien State;En Shayzien-stat
A Sinking Canoe;En sjunkande kanot
A barrel of rainwater;En tunna regnvatten
A bunk bed;En våningssäng
A burnt tree;Ett bränt träd
A chasm;En klyfta
A crack;En spricka
A dark crystal;En mörk kristall
A fairy workbench;En älva arbetsbänk
A fallen barrel;En fallen tunna
A flag;En flagga
A gap through the wall;En lucka genom väggen
A peculiar foot print;Ett märkligt fotavtryck
A primitive joke;Ett primitivt skämt
A rock;En sten
A shabby tent;Ett slitet tält
A tropical tree;Ett tropiskt träd
A wall;En vägg
A wooden log;En trästock
Abandoned Cart;Övergiven vagn
Abandoned Equipment;Övergiven utrustning
Absence of tears;Frånvaro av tårar
Absorption potion;Absorptionsdryck
Abstract mural;Abstrakt väggmålning
Abyssal Sire Topiary;Abyssal Sire Topiary
Abyssal Sire display;Abyssal Sire display
Abyssal demon head;Abyssal demonhuvud
Abyssal rift;Abyssal spricka
Accomplishment scroll space;Accomplishment scroll space
Achey Tree;Ahey träd
Achey Tree stump;Ahey trädstubb
Achievement diary display;Visning av prestationsdagbok
Acid pool;Syra pool
Acidic miasma;Sur miasma
Adamant armour;Adamant rustning
Adult Yommi tree;Vuxen Yommi-träd
Adventure log space;Äventyrsloggutrymme
Aged log;Åldrad stock
Aggie's Cauldron;Aggies kittel
Air balloon;Luftballong
Air rift;Luftspricka
Alan;Alan
Alchemical Hydra;Alkemisk Hydra
Alchemical Hydra display;Alchemical Hydra display
Alchemical Topiary;Alkemisk Topiary
Alchemical chart;Alkemiskt diagram
Alchemical door;Alkemisk dörr
Alchemists Teleport;Alkemister teleporterar
Alcove;Alkov
Ali M's Market;Ali Ms marknad
Allotment;Tilldelning
Almost a Statue;Nästan en staty
Altar;Altare
Altar of Guthix;Altare av Guthix
Altar of Zamorak;Zamoraks altare
Altar of nature;Naturens altare
Altar of the Occult;Det ockultas altare
Altar slab;Altarplatta
Altar space;Altarutrymme
Amlodd Banner;Amlodd Banner
Amulet of Glory;Amulet of Glory
Amulet space;Amulettutrymme
An anonymous looking door;En anonym dörr
An experimental anvil;Ett experimentellt städ
An ogre standard;En ogre standard
An old lever;En gammal spak
Ancestral Glyph;Ancestral Glyph
Anchor;Förankra
Anchor rope;Ankarrep
Ancient Altar;Forntida altare
Ancient Books;Forntida böcker
Ancient Equipment;Forntida utrustning
Ancient Fire;Forntida eld
Ancient Gate;Forntida port
Ancient Grave;Forntida grav
Ancient Incubator;Forntida inkubator
Ancient Machinery;Forntida maskiner
Ancient Mural;Forntida väggmålning
Ancient Pillar;Forntida pelare
Ancient Relic;Forntida relik
Ancient Rock;Forntida klippa
Ancient Shroom;Forntida Shroom
Ancient Zygomite;Forntida Zygomit
Ancient brazier;Urgammal brazier
Ancient bush;Forntida buske
Ancient cave painting;Gammal grottmålning
Ancient chest;Urgammal kista
Ancient gallows;Gamla galgar
Ancient machinery;Gamla maskiner
Ancient metal gate;Urgammal metallport
Anima patch;Animalapp
Animal skull;Djurskalle
Anna's barrel;Annas tunna
Annakarl Portal;Annakarl Portal
Anti-Dragon Breath Shield;Anti-Dragon Breath Shield
Antiques Shop Stall;Antikvitetsbutik
Anvil;Städ
Ape Atoll Dungeon Portal;Ape Atoll Dungeon Portal
Apparatus;Anordning
Appendage;Bihang
Apple Press;Apple Press
Apple Tree;Äppelträd
Apple basket;Äppelkorg
Apple tree;Äppelträd
Apple tree stump;Äppelträdstubb
Aquarium;Akvarium
Arcane crystal;Otrolig kristall
