'perfect' gold bar;'perfecte' goudbaar
'perfect' ring;'perfecte' ring
1/2 plain pizza;1/2 gewone pizza
1/2 anchovy pizza;1/2 ansjovispizza
1/2 pineapple pizza;1/2 ananaspizza
'perfect' necklace;'perfecte' ketting
'24-carat' sword;'24-karaats' zwaard
1/2 meat pizza;1/2 vleespizza
'perfect' gold ore;'perfect' gouderts
10th squad sigil;10th ploeg sigil
2/3rds full jug;2/3rds volle kan
2/5ths full bucket;2/5ths volle emmer
20th anniversary bottom;20th jubileum onderkant
2/3 cake;2/3 taart
2/3 chocolate cake;2/3 chocoladecake
20th anniversary boots;20th jubileum laarzen
18lb shot;18lb schot
1/3rds full jug;1/3rds volle kan
1/5ths full bucket;1/5ths volle emmer
20th anniversary hat;20th jubileum hoed
3rd age axe;3rd leeftijd bijl
20th anniversary cape;20th jubileum kaap
3rd age bow;3rd leeftijd boog
3rd age amulet;3rd leeftijd amulet
20th anniversary necklace;20th jubileum ketting
20th anniversary top;20th jubileum topje
22lb shot;22lb schot
20th anniversary gloves;20th jubileum handschoenen
3/5ths full bucket;3/5ths volle emmer
3rd age druidic robe top;3rd leeftijd druïdische gewaad top
3rd age mage hat;3rd leeftijd magiër hoed
3rd age full helmet;3rd leeftijd volledige helm
3rd age longsword;3rd leeftijd langzwaard
3rd age druidic staff;3rd leeftijd druïdische staf
3rd age druidic cloak;3rd leeftijd druïdische mantel
3rd age druidic robe bottoms;3rd leeftijd druïdische gewaadbodems
3rd age pickaxe;3rd leeftijd houweel
3rd age cloak;3rd leeftijd mantel
3rd age kiteshield;3rd leeftijd vliegerschild
3rd age range coif;3rd leeftijdscategorie coif
3rd age platebody;3rd leeftijd plaatlichaam
3rd age range top;3rd leeftijdscategorie bovenaan
3rd age vambraces;3rd leeftijd vambraces
3rd age platelegs;3rd leeftijd bordbenen
3rd age range legs;3rd leeftijdscategorie benen
3rd age robe top;3rd leeftijd gewaad top
3rd age robe;3rd leeftijd gewaad
3rd age plateskirt;3rd leeftijd platenrok
3rd age wand;3rd leeftijd toverstaf
8-gallon jug;8-gallon kruik
5-gallon jug;5-gallon kruik
A blue pentagon;Een blauwe vijfhoek
A blue circle;Een blauwe cirkel
??? mixture;??? mengsel
4-poster;4-poster 
4/5ths full bucket;4/5ths volle emmer
4th birthday hat;4th verjaardag hoed
A blue triangle;Een blauwe driehoek
A blue square;Een blauw vierkant
A green triangle;Een groene driehoek
A dear friend;Een dierbare vriend
A chair;Een stoel
A dark disposition;Een donkere instelling
A container;Een container
A green circle;Een groene cirkel
A green pentagon;Een groene vijfhoek
A jester stick;Een narrenstok
A green square;Een groen vierkant
A handwritten book;Een handgeschreven boek
A red pentagon;Een rode vijfhoek
A pattern;Een patroon
A red square;Een rood vierkant
A red triangle;Een rode driehoek
A scribbled note;Een gekrabbelde notitie
A magic scroll;Een magische rol
A powdered wig;Een gepoederde pruik
A red circle;Een rode cirkel
A scruffy note;Een smerige opmerking
A small key;Een kleine sleutel
A stone bowl;Een stenen kom
A violet pentagon;Een violette vijfhoek
A special tiara;Een bijzondere tiara
A violet square;Een violet vierkant
A yellow circle;Een gele cirkel
A taste of hope;Een voorproefje van hoop
A used spell;Een gebruikte spreuk
A violet circle;Een violette cirkel
A yellow pentagon;Een gele vijfhoek
A violet triangle;Een violette driehoek
Abyssal bludgeon;Abyssale knuppel
Ablenkian's escape;De ontsnapping van Ablenkian
Absorption (4);Absorptie (4)
Absorption (3);Absorptie (3)
A yellow triangle;Een gele driehoek
Aberrant spectre;Afwijkend spook
Abyssal book;Afgrond boek
A yellow square;Een geel vierkant
Absorption (1);Absorptie (1)
Absorption (2);Absorptie (2)
Abyssal bracelet(2);Abyssal armband(2)
Abyssal dagger;Abyssale dolk
Abyssal demon;Abyssale demon
Abyssal dagger (p++);Abyssale dolk (p++)
Abyssal bracelet(4);Abyssal armband(4)
Abyssal dagger (p+);Abyssale dolk (p+)
Abyssal bracelet(3);Abyssal armband(3)
Abyssal dagger (p);Abyssale dolk (p)
Abyssal bracelet(1);Abyssal armband(1)
Abyssal bracelet(5);Abyssal armband(5)
Abyssal tentacle;Abyssale tentakel
Accumulator max hood;Accumulator max kap
Achey tree logs;Achey boomstammen
Accumulator max cape;Accumulator max cape
Acetic acid;Azijnzuur
Abyssal head;Afgrond hoofd
Abyssal whip;Abyssale zweep
Achievement diary cape;Prestatie dagboek cape
Achievement diary cape (t);Prestatiedagboekcape (t)
Abyssal orphan;Afgrond wees
Adamant arrow(p);Adamant pijl(p)
Adamant arrow;Adamante pijl
Adamant arrow(p+);Adamante pijl(p+)
Adamant 2h sword;Adamant 2 uur zwaard
Adamant arrowtips;Adamante pijlpunten
