'perfect' gold bar;"täydellinen" kultaharkko
'perfect' ring;"täydellinen" sormus
1/2 plain pizza;1/2 tavallinen pizza
1/2 anchovy pizza;1/2 anjovis pizza
1/2 pineapple pizza;1/2 ananas pizza
'perfect' necklace;"täydellinen" kaulakoru
'24-carat' sword;"24 karaatin" miekka
1/2 meat pizza;1/2 liha pizza
'perfect' gold ore;"täydellinen" kultamalmi
10th squad sigil;10th joukkueen merkki
2/3rds full jug;2/3rds täysi kannu
2/5ths full bucket;2/5ths täysi ämpäri
20th anniversary bottom;20th vuosipäivän pohja
2/3 cake;2/3 kakku
2/3 chocolate cake;2/3 suklaakakku
20th anniversary boots;20th vuosipäivä saappaat
18lb shot;18lb ammuttu
1/3rds full jug;1/3rds täysi kannu
1/5ths full bucket;1/5ths täysi ämpäri
20th anniversary hat;20th vuosipäivä hattu
3rd age axe;3rd ikä kirves
20th anniversary cape;20th vuosipäivä viitta
3rd age bow;3rd ikä keula
3rd age amulet;3rd ikäinen amuletti
20th anniversary necklace;20th vuosipäivä kaulakoru
20th anniversary top;20th vuosipäivä toppi
22lb shot;22lb ammuttu
20th anniversary gloves;20th vuosipäivä hanskat
3/5ths full bucket;3/5ths täysi ämpäri
3rd age druidic robe top;3rd ikäinen druidinen kaapullinen toppi
3rd age mage hat;3rd ikäinen maagi hattu
3rd age full helmet;3rd ikä täysi kypärä
3rd age longsword;3rd ikäinen miekka
3rd age druidic staff;3rd ikäinen druidi henkilökunta
3rd age druidic cloak;3rd ikäinen druidiviitta
3rd age druidic robe bottoms;3rd iän druidiviittaiset alushousut
3rd age pickaxe;3rd ikäinen hakku
3rd age cloak;3rd ikäinen viitta
3rd age kiteshield;3rd ikäinen leijakilpi
3rd age range coif;3rd ikäluokka coif
3rd age platebody;3rd ikälevyrunko
3rd age range top;3rd ikäluokan huippu
3rd age vambraces;3rd ikäiset vambraces
3rd age platelegs;3rd ikäiset lautaset
3rd age range legs;3rd ikäluokan jalat
3rd age robe top;3rd ikätakki toppi
3rd age robe;3rd ikäviitta
3rd age plateskirt;3rd ikäinen levyhame
3rd age wand;3rd ikäsauva
8-gallon jug;8-gallon kannu
5-gallon jug;5-gallon kannu
A blue pentagon;Sininen viisikulmio
A blue circle;Sininen ympyrä
??? mixture;??? seos
4-poster;4-poster 
4/5ths full bucket;4/5ths täysi ämpäri
4th birthday hat;4th syntymäpäivä hattu
A blue triangle;Sininen kolmio
A blue square;Sininen neliö
A green triangle;Vihreä kolmio
A dear friend;Rakas ystävä
A chair;Tuoli
A dark disposition;Tumma asenne
A container;Säiliö
A green circle;Vihreä ympyrä
A green pentagon;Vihreä viisikulmio
A jester stick;Naurettava keppi
A green square;Vihreä neliö
A handwritten book;Käsinkirjoitettu kirja
A red pentagon;Punainen viisikulmio
A pattern;Malli
A red square;Punainen neliö
A red triangle;Punainen kolmio
A scribbled note;Kirjoitettu muistiinpano
A magic scroll;Maaginen rulla
A powdered wig;Puuterimainen peruukki
A red circle;Punainen ympyrä
A scruffy note;Naurettava huomautus
A small key;Pieni avain
A stone bowl;Kivinen kulho
A violet pentagon;Violetti viisikulmio
A special tiara;Erityinen tiara
A violet square;Violetti neliö
A yellow circle;Keltainen ympyrä
A taste of hope;Toivon maku
A used spell;Käytetty loitsu
A violet circle;Violetti ympyrä
A yellow pentagon;Keltainen viisikulmio
A violet triangle;Violetti kolmio
Abyssal bludgeon;Abyssal bludgeon
Ablenkian's escape;Ablenkianin pako
Absorption (4);Imeytyminen (4)
Absorption (3);Imeytyminen (3)
A yellow triangle;Keltainen kolmio
Aberrant spectre;Aberrantti haamu
Abyssal book;Abyssal kirja
A yellow square;Keltainen neliö
Absorption (1);Imeytyminen (1)
Absorption (2);Imeytyminen (2)
Abyssal bracelet(2);Abyssal rannekoru (2)
Abyssal dagger;Abyssal tikari
Abyssal demon;Abyssal demoni
Abyssal dagger (p++);Abyssal tikari (p++)
