hello;olá
Hello;Olá
hello!;olá!
Hello!;Olá!
Hello there!;Olá!
Hello there;Olá
It could be a risky move.;Pode ser uma jogada arriscada.
Die intruder!;Morra intruso!
Light the firecrackers?;Acender os fogos de artifício?
Just do the same trick using some rope on their sails and swing over.;Basta fazer o mesmo truque usando uma corda nas velas e balançar.
'We aim to deliver your stuff at some point after you have paid us!';'Nosso objetivo é entregar suas coisas em algum momento depois que você nos pagar!'
Need summat?;Precisa de resumo?
I no longer need these bones - take them, please, and bury what you can.;Não preciso mais desses ossos. Pegue-os, por favor, e enterre o que puder.
Here's a vial for your potion. Good luck.;Aqui está um frasco para sua poção. Boa sorte.
The thing I need is something with the ability to regenerate. Nylocas are strong in numbers, but far too weak on their own.;O que preciso é algo com capacidade de regeneração. Nylocas são fortes em número, mas muito fracos por si só.
If the Council are to be removed, they will also have to be replaced.;Se o Conselho for removido, eles também terão que ser substituídos.
2.8 Talking to Tegdak with an artefact;2.8 Conversando com Tegdak com um artefato
You are perhaps a more interesting man than I first took you for, Sir...;Você talvez seja um homem mais interessante do que eu imaginava, senhor...
The Captain starts rambling on about his days as a salty sea dog. He looks quite distracted...;O capitão começa a divagar sobre seus dias como cachorro-do-mar salgado. Ele parece bastante distraído...
Yes, she good cook and wash but talk too many. Arrg strong troll, Arrg mighty troll, Arrg have many girlfriends!;Sim, ela cozinha e lava bem, mas fala demais. Arrg troll forte, Arrg troll poderoso, Arrg tem muitas namoradas!
Ranked or unranked? What does that mean?;Classificado ou não classificado? O que isso significa?
1.2.6 After pouring 4 buckets of water on the mud patch without a gas mask in player inventory;1.2.6 Depois de derramar 4 baldes de água na lama sem máscara de gás no inventário do jogador
1 Before starting;1 Antes de começar
I tried to reason with him, but he had already decided that I was his enemy. We had the numbers and our forces were better skilled, so we tried to besiege the city.;Tentei argumentar com ele, mas ele já havia decidido que eu era seu inimigo. Tínhamos os números e as nossas forças eram mais qualificadas, por isso tentámos sitiar a cidade.
1.6.2 Using any item on Claus' range;1.6.2 Usando qualquer item do alcance de Claus
Tourniquet, Fenderbaum, Tottenham, Marshmallow, Marblearch.;Torniquete, Fenderbaum, Tottenham, Marshmallow, Marblearch.
Three!;Três!
Now that you have proven yourself worthy of being a competent and trustworthy treasure collector, I can tell the real use for the beans.;Agora que você provou ser digno de ser um colecionador de tesouros competente e confiável, posso dizer a real utilidade do feijão.
No?;Não?
Well sure, just as soon as you have some spare space for it.;Bem, claro, assim que você tiver algum espaço livre para isso.
I have given Persten and [player name] permission to go through. Until we know it's safe, no one else may enter.;Dei permissão a Persten e [nome do jogador] para passar. Até sabermos que é seguro, ninguém mais poderá entrar.
As a bank employee, I suppose I could take the money directly from your bank account.;Como funcionário do banco, suponho que poderia retirar o dinheiro diretamente da sua conta bancária.
That said, we should still be careful. Everyone has two sides, and he knew exactly what he was doing when he brought out the Royal Accord of Twill.;Dito isto, ainda devemos ter cuidado. Todo mundo tem dois lados, e ele sabia exatamente o que estava fazendo quando lançou o Acordo Real de Sarja.
This place has remained vulnerable ever since.;Este lugar permaneceu vulnerável desde então.
Good work. Hopefully there's something useful behind it.;Bom trabalho. Espero que haja algo útil por trás disso.
I want to use your whetstone.;Quero usar sua pedra de amolar.
Hi buddy! Or do ya want me to call ya [Fremennik name] now?;Olá amigo! Ou você quer que eu te chame de [nome Fremennik] agora?
Lord Arceuus gives you the broken device.;Lord Arceuus lhe dá o dispositivo quebrado.
Do you think this is worth exploring?;Você acha que vale a pena explorar isso?
I'll take a look.;Vou dar uma olhada.
If the player does not have inventory space for the reward;Se o jogador não tiver espaço no inventário para a recompensa
You'll find the house in sector four. To get there, leave the base, head north and then head west. Go all the way to the western wall and you'll find a broken fountain. The house is the one directly south of the fountain.;Você encontrará a casa no setor quatro. Para chegar lá, saia da base, siga para o norte e depois para o oeste. Vá até a parede oeste e você encontrará uma fonte quebrada. A casa fica diretamente ao sul da fonte.
Don't we?;Não é?
So this place was definitely used by wizards at one point. Amazing!;Então este lugar foi definitivamente usado por bruxos em algum momento. Incrível!
So how can we permanently unlock them?;Então, como podemos desbloqueá-los permanentemente?
3.2 Using vodka on aviary hatch;3.2 Usando vodka na escotilha do aviário
Yes, but I don't think you can help;Sim, mas não acho que você possa ajudar
Thank you, [Fremennik name].;Obrigado, [nome Fremennik].
11.4 Returning to Razmire before making sacred oil;11.4 Retornando a Razmire antes de fazer óleo sagrado
What do you do in the Guild?;O que você faz na Guilda?
If the player has 20 Crafting;Se o jogador tiver 20 Crafting
) Dialogue 82;) Diálogo 82
(If Merlin's Crystal is completed;(Se o Cristal de Merlin for concluído
Farewell, [player name]. Perhaps we will meet again.;Adeus, [nome do jogador]. Talvez nos encontremos novamente.
Oh Izzie? He's my pet.;Ah, Izzie? Ele é meu animal de estimação.
You show the tankard to Sithik.;Você mostra a caneca para Sithik.
3.9 Using the fur head on Gordon;3.9 Usando a cabeça de pêlo em Gordon
little... misdirection.;um pouco... desorientação.
That should be enough to use for the statue's body.;Isso deve ser suficiente para usar no corpo da estátua.
Cleansing flames? Like a tinderbox?;Chamas purificadoras? Como uma caixa de pólvora?
Well let's see now...;Bem, vamos ver agora...
Keep an eye on Safalaan, [player name]. I don't like leaving him alone with that vampyre.;Fique de olho em Safalaan, [nome do jogador]. Não gosto de deixá-lo sozinho com aquele vampiro.
Yes, I can spin them for you, but I will have to ask you for a small payment of money for them.;Sim, posso fiá-los para você, mas terei que pedir um pequeno pagamento em dinheiro por eles.
They're quite rare around here.;Eles são bastante raros por aqui.
Ernest the Chicken is started.;Ernest, o Frango, é iniciado.
2.80 Taking to 'Picarron' Pete about the feast;2.80 Levando para 'Picarron' Pete sobre a festa
The death throes of the rats seem to have shaken the door loose its hinges. You pick it up and go through.;A agonia dos ratos parece ter feito a porta perder as dobradiças. Você pega e passa.
What? Then why the signal?;O que? Então por que o sinal?
Only the most worthy are allowed access into the Myths' Guild. If you wish to enter, you'll need to prove yourself.;Apenas os mais dignos têm acesso à Guilda dos Mitos. Se quiser entrar, você precisará provar seu valor.
8.4.2 Returning to Ardougne Castle after Lathas' death;8.4.2 Retornando ao Castelo de Ardonha após a morte de Lathas
from their farm to the south. They are paid from the money in the coffers;de sua fazenda ao sul. Eles são pagos com o dinheiro que está nos cofres
Except for the Captain, I think so, yes.;Exceto o Capitão, acho que sim.
You came to me, not the other way around. From that, I would assume that you already have some sort of motive in finding this killer. I care not what that motive is.;Você veio até mim, e não o contrário. A partir disso, presumo que você já tenha algum motivo para encontrar esse assassino. Não me importa qual seja esse motivo.
Aquarius!;Aquário!
(Non-quest dialogue) Do you have any interesting items for sale?;(Diálogo fora da missão) Você tem algum item interessante à venda?
GPDT employee;Funcionário do GPDT
Treasure scroll;Pergaminho do tesouro
1.6 Talking to Jerico after talking to Omart;1.6 Conversando com Jerico depois de falar com Omart
I'm meant to be setting sail on a voyage of my own, but the crew won't go without some sort of 'protection'. I was hoping someone here would know of a way to avoid falling victim to the so-called curse.;Eu deveria embarcar em uma viagem própria, mas a tripulação não irá sem algum tipo de “proteção”. Eu esperava que alguém aqui soubesse uma maneira de evitar ser vítima da chamada maldição.
4.1 Attempting to grab the ball before defeating the experiment;4.1 Tentando agarrar a bola antes de derrotar o experimento
1.1 Adventurer camp;1.1 Acampamento de aventureiros
You try to use the tree to climb down...;Você tenta usar a árvore para descer...
Emote clues.;Emote pistas.
I think so. There's a waste outlet nearby that I believe may be coming from the city of Arposandra!;Eu penso que sim. Há um depósito de lixo próximo que acredito ser proveniente da cidade de Arposandra!
Pah! I've seen mummies with more brains than you! If you treat camels badly then of course they're going to spit at you. May your robes never be clean again!;Pah! Já vi múmias com mais cérebros que você! Se você tratar mal os camelos, é claro que eles cuspirão em você. Que suas vestes nunca mais fiquem limpas!
Without two empty inventory spaces;Sem dois espaços de inventário vazios
3.8.1 Rellekka;3.8.1 Rellekka
3.23 Using a preform that is too hot on the polishing wheel;3.23 Usando uma pré-forma que está muito quente na roda de polimento
For the motherland.;Para a pátria.
Certainly. Please hurry, you must avert the war!;Certamente. Por favor, apresse-se, você deve evitar a guerra!
2.2 Talking to Cyreg again;2.2 Conversando com Cyreg novamente
1.2 During Plague City;1.2 Durante a Cidade da Peste
I wish things were as simple as good against evil, but that's rarely the case.;Eu gostaria que as coisas fossem tão simples quanto o bem contra o mal, mas raramente é o caso.
Anyway, My Arm not mind going to Weiss. No family here now, not since My Other Arm died. Got apprentice ready to take over goutweed farming. Dis gonna be fine.;De qualquer forma, meu braço não se importa em ir para Weiss. Nenhuma família aqui agora, desde que Meu Outro Braço morreu. Tenho um aprendiz pronto para assumir o cultivo de gota. Isso vai ficar bem.
Not good at all my friend. It's Elena, she's been taken...;Não é nada bom meu amigo. É Elena, ela foi levada...
No, sorry...;Não, desculpe...
Green Sheep;Ovelha Verde
Unless it's an emergency! Press the red button. Now!;A menos que seja uma emergência! Pressione o botão vermelho. Agora!
Oh hello, have you seen Lather Fawrence?;Olá, você viu Lather Fawrence?
I have a message from your husband. He wants you to know that he still loves you, despite his ghostly state.;Tenho uma mensagem do seu marido. Ele quer que você saiba que ele ainda te ama, apesar de seu estado fantasmagórico.
... I'm impressed. How on earth did you think of something like that? I've never heard of such a technique for finding criminals before!;... Estou impressionado. Como diabos você pensou em algo assim? Nunca ouvi falar de tal técnica para encontrar criminosos antes!
Just take the fuse, use it on the barrel of gunpowder next to the cannon, and then light it with something.;Basta pegar o pavio, usá-lo no cano de pólvora próximo ao canhão e acendê-lo com alguma coisa.
May Big High War God give you faith!;Que o Grande Deus da Guerra lhe dê fé!
Right here. Enjoy!;Bem aqui. Aproveitar!
Please, we just wanted to experiment. We wanted to create life. There's a dungeon under the tower. Long ago we found a strange source of energy that we believe was left behind by the great Guthix. He used to;Por favor, só queríamos experimentar. Queríamos criar vida. Há uma masmorra sob a torre. Há muito tempo atrás encontramos uma estranha fonte de energia que acreditamos ter sido deixada pelo grande Guthix. Ele costumava
Errr... You couldn't see eye to eye about magic, or something like that.;Errr... Você não poderia concordar sobre magia, ou algo assim.
Thanks, goodbye.;Obrigado, adeus.
it would therefore become impossible to remove your rank, or make you no longer a deputy.;seria, portanto, impossível remover o seu posto ou fazer com que você deixasse de ser deputado.
If player's house is currently located in Yanille;Se a casa do jogador estiver atualmente localizada em Yanille
3.17 Talking to Hengrad in the jail cell;3.17 Conversando com Hengrad na cela da prisão
That's right. They turned on him. No-one is sure about the exact events, but somehow Gubblebak fell into one of the smelting pots of liquid gold.;Isso mesmo. Eles se voltaram contra ele. Ninguém tem certeza sobre os acontecimentos exatos, mas de alguma forma Gubblebak caiu em uma das panelas de ouro líquido.
accep... ancestor build.;aceitar... construção ancestral.
Many have tried to capture her attention, but you are the first to succeed.;Muitos tentaram chamar a atenção dela, mas você foi o primeiro a conseguir.
If the player has lost the mysterious orb;Se o jogador perdeu o orbe misterioso
For da stabbie chucker, I's wanna hunt da chompy! Da chompy is der bestest yummies for Rantz, Fycie and Bugs! Creature knows what Rantz wants... flyin' to stabbie da chompy!;Para o stabbie chucker, eu quero caçar o chompy! Da chompy é o melhor gostoso para Rantz, Fycie e Bugs! A criatura sabe o que Rantz quer... voando para esfaquear o chompy!
These holes aren't that spooky.;Esses buracos não são tão assustadores.
Boy;Garoto
You know, I'm not sure that was even a compliment.;Sabe, não tenho certeza se isso foi um elogio.
Do you think we'll find anything to help us here?;Você acha que encontraremos algo para nos ajudar aqui?
Are you sure it'll work?;Tem certeza que vai funcionar?
Do you even remember what it looked like?;Você ao menos se lembra de como era?
Hmm. I wonder if there's another way in.;Hum. Eu me pergunto se há outra maneira de entrar.
Can't I do something for a strong Captain like you?;Não posso fazer algo por um capitão forte como você?
Please could you go see Noella, north of East Ardougne market for us? You can get another job once you have furnished her home.;Por favor, você poderia ir ver Noella, ao norte do mercado de East Ardonha, para nós? Você pode conseguir outro emprego depois de mobiliar a casa dela.
One last thing. While in Morytania, stay alert for any mention of the Myreque.;Uma última coisa. Enquanto estiver em Moritânia, fique atento a qualquer menção ao Myreque.
Have ye any idea about how to lift the curse?;Você tem alguma ideia de como acabar com a maldição?
I'm not sure, but the Tasakaal said it was made by a mortal.;Não tenho certeza, mas o Tasakaal disse que foi feito por um mortal.
