A Goblin standard;Um padrão Goblin
A dark crystal;Um cristal escuro
Abyssal Sire Topiary;Topiária do Senhor Abissal
Achey Tree stump;Toco de árvore Achey
A rock;Uma pedra
Aged log;Registro antigo
Altar of Zamorak;Altar de Zamorak
Ancient Mural;Pintura Mural Antiga
Antiques Shop Stall;Tenda de loja de antiguidades
Achievement diary display;Exibição do diário de conquistas
Ancient Gate;Portão Antigo
Ancient Grave;Sepultura Antiga
Ancient chest;Baú antigo
A bunk bed;Um beliche
A chasm;Um abismo
A fairy workbench;Uma bancada de fadas
A tropical tree;Uma árvore tropical
Abyssal rift;Fenda Abissal
Acid pool;Piscina ácida
Alan;Alan
An anonymous looking door;Uma porta de aparência anônima
Ancestral Glyph;Glifo Ancestral
Ancient bush;Arbusto antigo
A flag;Uma bandeira
Abandoned Cart;Carrinho Abandonado
Abyssal Sire display;Exibição do Senhor Abissal
Achey Tree;Árvore Achey
Adult Yommi tree;Árvore Yommi adulta
Alcove;Alcova
Altar space;Espaço do altar
An experimental anvil;Uma bigorna experimental
Ancient Fire;Fogo Antigo
Ancient Incubator;Incubadora Antiga
Ancient Relic;Relíquia Antiga
A wall;Uma parede
Accomplishment scroll space;Espaço de rolagem de realização
Alchemical Hydra display;Exibição Hidra Alquímica
Alchemical door;Porta alquímica
Altar of Guthix;Altar de Guthix
Altar slab;Laje do altar
Amlodd Banner;Bandeira Amlodd
Amulet of Glory;Amuleto da Glória
Ancient cave painting;Pintura rupestre antiga
Anna's barrel;O barril de Anna
A Sinking Canoe;Uma canoa afundando
A primitive joke;Uma piada primitiva
Abandoned Equipment;Equipamento Abandonado
Alchemical Hydra;Hidra Alquímica
Alchemists Teleport;Teletransporte de Alquimistas
Almost a Statue;Quase uma estátua
Anchor;Âncora
Ancient Altar;Altar Antigo
Ancient Books;Livros Antigos
Ancient Zygomite;Zigomita Antigo
Alchemical Topiary;Topiária Alquímica
Altar of the Occult;Altar do Oculto
Animal skull;Crânio de animal
Annakarl Portal;Portal Annakarl
Anti-Dragon Breath Shield;Escudo de Sopro Anti-Dragão
Aggie's Cauldron;Caldeirão de Aggie
Altar;Altar
Anchor rope;Corda de âncora
Ancient Shroom;Cogumelo Antigo
